ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"0-53000.ckpt",0.999000,0.927000,0.831,0.792000,0.925000,13.885,OK,2
"0-60000.ckpt",0.998000,0.917000,0.833,0.784000,0.915000,13.651,OK,2
"0-68000.ckpt",0.999000,0.939000,0.833,0.799000,0.934000,13.697,OK,2
"0-75000.ckpt",1.000000,0.941000,0.831,0.816000,0.945000,13.848,OK,2
"0-82000.ckpt",0.996000,0.946000,0.831,0.798000,0.932000,14.238,OK,2
"0-9000.ckpt",0.999000,0.930000,0.820,0.831000,0.924000,14.071,OK,2
"0-97000.ckpt",1.000000,0.933000,0.831,0.794000,0.929000,13.890,OK,2
"1-208000.ckpt",1.000000,0.935000,0.833,0.787000,0.930000,14.070,OK,2
"1-216000.ckpt",1.000000,0.934000,0.831,0.783000,0.931000,13.564,OK,2
"1-224000.ckpt",1.000000,0.924000,0.830,0.782000,0.920000,14.379,OK,2
"1-232000.ckpt",0.999000,0.926000,0.828,0.766000,0.920000,13.804,OK,2
"1-240000.ckpt",1.000000,0.932000,0.829,0.779000,0.921000,14.387,OK,2
"1-248000.ckpt",1.000000,0.931000,0.827,0.775000,0.918000,13.547,OK,2
"1-256000.ckpt",0.999000,0.939000,0.827,0.774000,0.924000,13.622,OK,2
"1-264000.ckpt",1.000000,0.937000,0.828,0.783000,0.925000,13.755,OK,2
"1-272000.ckpt",1.000000,0.926000,0.825,0.789000,0.935000,13.781,OK,2
"1-280000.ckpt",1.000000,0.924000,0.828,0.781000,0.926000,14.132,OK,2
"1-288000.ckpt",1.000000,0.935000,0.829,0.788000,0.931000,14.038,OK,2
"1-296000.ckpt",1.000000,0.933000,0.830,0.784000,0.928000,13.775,OK,2
"1-304000.ckpt",1.000000,0.930000,0.831,0.774000,0.925000,13.679,OK,2
"0-100000.ckpt",1.000000,0.957000,0.829,0.805000,0.943000,15.879,OK,3
"0-108000.ckpt",0.998000,0.954000,0.829,0.807000,0.940000,14.051,OK,3
"0-115000.ckpt",0.998000,0.940000,0.830,0.806000,0.939000,13.548,OK,3
"0-122000.ckpt",1.000000,0.940000,0.830,0.808000,0.936000,13.748,OK,3
"0-13000.ckpt",0.999000,0.957000,0.815,0.875000,0.958000,13.798,OK,3
"0-137000.ckpt",1.000000,0.934000,0.828,0.790000,0.935000,13.695,OK,3
"0-144000.ckpt",1.000000,0.933000,0.829,0.769000,0.928000,13.779,OK,3
"0-150000.ckpt",1.000000,0.936000,0.828,0.770000,0.919000,14.017,OK,3
"0-158000.ckpt",1.000000,0.928000,0.829,0.769000,0.921000,14.209,OK,3
"0-165000.ckpt",1.000000,0.935000,0.828,0.783000,0.922000,14.249,OK,3
"0-172000.ckpt",1.000000,0.934000,0.828,0.781000,0.920000,14.090,OK,3
"0-18000.ckpt",0.999000,0.964000,0.820,0.868000,0.967000,14.774,OK,3
"0-187000.ckpt",1.000000,0.921000,0.830,0.785000,0.929000,13.572,OK,3
"0-194000.ckpt",1.000000,0.929000,0.830,0.803000,0.938000,13.539,OK,3
"0-200000.ckpt",1.000000,0.924000,0.831,0.810000,0.936000,13.732,OK,3
"0-26000.ckpt",0.999000,0.944000,0.828,0.854000,0.941000,13.965,OK,3
"0-33000.ckpt",0.999000,0.942000,0.828,0.842000,0.943000,13.845,OK,3
"0-40000.ckpt",0.999000,0.921000,0.834,0.811000,0.928000,13.838,OK,3
"0-48000.ckpt",0.999000,0.928000,0.827,0.804000,0.937000,14.073,OK,3
"0-54000.ckpt",1.000000,0.930000,0.830,0.807000,0.929000,14.082,OK,3
"0-61000.ckpt",0.997000,0.948000,0.832,0.799000,0.936000,13.308,OK,3
"0-69000.ckpt",0.998000,0.939000,0.834,0.795000,0.932000,13.982,OK,3
"0-76000.ckpt",0.996000,0.949000,0.835,0.799000,0.930000,14.116,OK,3
"0-83000.ckpt",0.996000,0.946000,0.833,0.795000,0.930000,13.758,OK,3
